backslashjasdlf',backslashasdn',0,0,0,1,0,NULL,NULL,NULL,NULL,backslash;',NULL,NULL,NULL,NULL,NULL,backslash',;',dblequote',B.H.',Thursday',2018-07-12 07:55:06'
1',1',0,1,0,0,1,1,0,0,NULL,NULL,spots on plants shelf 3 nutritional ',NULL,NULL,meter 89',NULL,NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:30:08'
1',2',1,1,0,0,0,2,0,0,NULL,some diods out minor ',nutritional wilt;dry',NULL,NULL,NULL,possible thrips; minor ',NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:32:11'
1',3',0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:32:38'
1',4',0,0,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,thrips present minor',NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:33:11'
1',5',1,0,0,0,0,2,0,0,NULL,one light out shelf one ',NULL,NULL,NULL,NULL,thrips present minor ',NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:34:09'
1',6',0,0,1,0,0,2,0,0,NULL,0',NULL,needs adjustment ',NULL,NULL,thrips present very minor ',0',NULL,NULL,d.p.',Thursday',2018-07-12 08:36:02'
1',7',0,0,0,0,0,0,0,0,0,NULL,0',NULL,NULL,NULL,NULL,NULL,NULL,0',d.p.',Thursday',2018-07-12 08:36:23'
1',8',1,0,0,0,0,1,0,0,NULL,shelf 2 one light out ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:37:07'
1',9',1,1,0,0,0,3,0,0,NULL,shelf 4 one light out ',wilt',NULL,NULL,NULL,thrips present high ',NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:44:24'
1,10',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:44:24'
1',11',0,0,0,0,0,2,0,1,NULL,NULL,NULL,NULL,NULL,NULL,thrips present ',NULL,manifold off adjusted check periodically',NULL,d.p.',Thursday',2018-07-12 08:45:26'
1',12',0,1,1,0,0,2,0,0,NULL,NULL,wilt ',needs adjustment; shelf 7 locked?',NULL,NULL,thrips present ',NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:49:38'
1',13',0,1,0,1,0,2,0,0,NULL,NULL,tall; wilt',NULL,borderline flood ',NULL,thrips present',NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:51:15'
1',14 ',0,0,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,thrips present minor',NULL,NULL,NULL,d.p.',Thursday',2018-07-12 08:58:37'
