'1', NULL, NULL, 'nb', 'Wednesday', '2018-08-01 15:11:33'
'1', NULL, NULL, 'nb', 'Wednesday', '2018-08-01 15:13:08'
'1', 39, NULL, 'nb', 'Wednesday', '2018-08-01 15:13:20'
'1', 39, NULL, 'd.p.', 'Thursday', '2018-08-02 14:52:24'
'', 39, NULL, 'd.p.', 'Friday', '2018-08-03 15:25:27'
'1', 39, NULL, 'd.p.', 'Friday', '2018-08-03 15:25:33'
'1', 43, NULL, 'd.p.', 'Monday', '2018-08-06 16:29:05'
'1', 43, NULL, 'd.p.', 'Monday', '2018-08-06 16:29:07'
'1', 43, NULL, 'd.p.', 'Monday', '2018-08-06 16:29:15'
'1', 39 , NULL, 'd.p.', 'Tuesday', '2018-08-07 15:00:03'
'1', 39 , NULL, 'd.p.', 'Tuesday', '2018-08-07 15:00:09'
